CountryCode,Country,SeriesCode,MDG,Series,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,
324,Guinea,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,28.0,28.8,29.8,30.3,32.4,37.4,44.0,45.9,41.8,39.9,37.5,35.4,31.3,25.9,16.7,9.3,4.9,2.9,1.6,0.0,0.0,0.0,0.0,0.0, , , 
624,Guinea-Bissau,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,22.2,23.0,23.4,23.9,24.4,25.7,26.3,26.8,27.1,26.0,26.0,26.9,27.2,29.4,25.2,12.5,13.1,2.9,1.4,3.9,0.0,0.0,0.0,0.0, , , 
328,Guyana,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,18.9,17.3,22.6,59.5,42.3,90.8,41.0,27.8,29.2,39.9,24.4,19.8,14.3,10.4,11.9,23.5,8.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0, , , 
332,Haiti,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,169.0,169.0,169.0,,,169.0,169.0,181.2,115.9,132.5,81.4,50.4,9.0,2.3,0.0,0.0,0.0,0.0,0.0, , , 
340,Honduras,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,114.8,117.5,523.3,354.1,157.4,334.8,172.3,121.6,131.2,219.1,167.8,122.6,94.7,39.7,23.4,0.0,0.0,0.0,0.0,0.0, , , 
348,Hungary,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,4390.0,2290.0,1674.8,1381.4,844.0,566.2,0.0,3.9,1.3,0.6,0.5,0.0,0.3,-1.3,,,,,,,,,,, , , 
352,Iceland,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,132.7,93.4,65.2,61.9,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
356,India,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,0.0,0.0,4501.0,5276.8,6387.0,6402.4,6937.4,6703.3,5264.7,4142.9,5614.3,4514.3,3917.7,2631.5,2241.6,1957.8,3560.3,998.2,216.5,-659.9,316.1,0.0,-15.4,-19.8, , , 
360,Indonesia,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,5249.0,4363.4,6910.0,8351.2,9012.0,7634.8,6182.8,5865.8,5411.1,5003.3,5506.3,4829.3,3925.5,2385.3,231.0,202.6,0.0,0.0,0.0,0.0,0.0,0.0, , , 
364,Iran (Islamic Republic of),649,N,Consumption of ozone-depleting CFCs in ODP metric tons,1365.8,4750.0,4750.0,4495.0,4327.6,4140.0,3692.0,5883.0,5571.0,4399.0,4156.5,4204.8,4437.8,4088.8,3471.9,2221.0,953.3,549.5,240.6,100.3,21.0,0.0,0.0,0.0, , , 
368,Iraq,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,1547.0,1501.7,1502.4,,,,,,,,,1414.1,1686.1,1597.1,482.1,0.0,0.0,0.0,0.0, , , 
372,Ireland,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,,,,,,,,,,,,,,,,,,, , , 
376,Israel,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,4062.6,3523.6,897.4,1095.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
380,Italy,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,,,,,,,,,,,,,,,,,,,,,,,,, , , 
388,Jamaica,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,423.9,350.1,464.0,66.2,49.2,82.0,91.1,106.6,199.0,210.4,59.8,48.6,31.7,16.2,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , , 
392,Japan,649,N,Consumption of ozone-depleting CFCs in ODP metric tons,97723.2,88436.4,58477.4,47451.8,19712.6,23063.8,-614.4,-113.0,-208.0,23.2,-24.2,-5.5,19.5,4.0,0.0,0.0,0.0,-5.0,-0.7,0.0,-271.4,-231.0,-223.1,-181.3, , , 
